"chord"	"altchord"	"measure"	"beat"	"totbeat"	"timesig"	"op"	"no"	"mov"	"length"	"global_key"	"local_key"	"pedal"	"numeral"	"form"	"figbass"	"changes"	"relativeroot"	"phraseend"
"vii%7"	""	"75"	"3.0"	"225.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"vii"	"%"	"7"	""	""	false
"I"	""	"76"	"1.0"	"226.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"I"	""	""	""	""	false
"V43"	""	"76"	"2.0"	"227.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"V"	""	"43"	""	""	false
"I6"	""	"76"	"3.0"	"228.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"I"	""	"6"	""	""	false
"ii6"	""	"77"	"1.0"	"229.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"ii"	""	"6"	""	""	false
"ii"	""	"77"	"2.0"	"230.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"ii"	""	""	""	""	false
"V7"	""	"77"	"3.0"	"231.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"V"	""	"7"	""	""	false
"I\\\\"	""	"78"	"1.0"	"232.0"	"3/4"	"18"	"1"	"3"	2.0	"F"	"I"	""	"I"	""	""	""	""	true
"viio43/V"	""	"78"	"3.0"	"234.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"vii"	"o"	"43"	""	"V"	false
"V6(b64)"	""	"79"	"1.0"	"235.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"V"	""	"6"	"b64"	""	false
"V6"	""	"79"	"2.0"	"236.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"V"	""	"6"	""	""	false
"V"	""	"79"	"3.0"	"237.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"V"	""	""	""	""	false
"I"	""	"80"	"1.0"	"238.0"	"3/4"	"18"	"1"	"3"	2.0	"F"	"I"	""	"I"	""	""	""	""	false
"viio43"	""	"80"	"3.0"	"240.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"vii"	"o"	"43"	""	""	false
"V6(b64)"	""	"81"	"1.0"	"241.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"V"	""	"6"	"b64"	""	false
"V6"	""	"81"	"2.0"	"242.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"V"	""	"6"	""	""	false
"V"	""	"81"	"3.0"	"243.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"V"	""	""	""	""	false
"I"	""	"82"	"1.0"	"244.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"I"	""	""	""	""	false
"V6"	""	"82"	"2.0"	"245.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"V"	""	"6"	""	""	false
"V"	""	"82"	"3.0"	"246.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"V"	""	""	""	""	false
"I"	""	"83"	"1.0"	"247.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"I"	""	""	""	""	false
"V6"	""	"83"	"2.0"	"248.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"V"	""	"6"	""	""	false
"V"	""	"83"	"3.0"	"249.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"V"	""	""	""	""	false
"I"	""	"84"	"1.0"	"250.0"	"3/4"	"18"	"1"	"3"	3.0	"F"	"I"	""	"I"	""	""	""	""	false
"I\\\\"	""	"85"	"1.0"	"253.0"	"3/4"	"18"	"1"	"3"	3.0	"F"	"I"	""	"I"	""	""	""	""	true
"i.V"	""	"86"	"1.0"	"256.0"	"3/4"	"18"	"1"	"3"	12.0	"F"	"i"	""	"V"	""	""	""	""	false
".bVI.I[I"	""	"90"	"1.0"	"268.0"	"3/4"	"18"	"1"	"3"	3.0	"F"	"bVI"	"I"	"I"	""	""	""	""	false
"I"	""	"91"	"1.0"	"271.0"	"3/4"	"18"	"1"	"3"	8.0	"F"	"bVI"	"I"	"I"	""	""	""	""	false
"V7"	""	"93"	"3.0"	"279.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"bVI"	"I"	"V"	""	"7"	""	""	false
"I"	""	"94"	"1.0"	"280.0"	"3/4"	"18"	"1"	"3"	11.0	"F"	"bVI"	"I"	"I"	""	""	""	""	false
"V7"	""	"97"	"3.0"	"291.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"bVI"	"I"	"V"	""	"7"	""	""	false
"I]"	""	"98"	"1.0"	"292.0"	"3/4"	"18"	"1"	"3"	3.0	"F"	"bVI"	"I"	"I"	""	""	""	""	false
"i.VI"	""	"99"	"1.0"	"295.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"i"	""	"VI"	""	""	""	""	false
"i64"	""	"99"	"2.0"	"296.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"i"	""	"i"	""	"64"	""	""	false
"viio/V"	""	"99"	"3.0"	"297.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"i"	""	"vii"	"o"	""	""	"V"	false
